Timesteps,episode_reward_mean,episode_reward_std
1000,-1.4732,0.0
2000,-4.4143,0.0
3000,-41.841,0.0
4000,-126.7694,0.0
5000,-185.9658,0.0
6000,14.411,0.0
7000,-291.4379,0.0
8000,-225.0686,0.0
9000,151.3596,0.0
10000,10.7503,0.0
11000,-153.1774,0.0
12000,-356.3865,0.0
13000,102.1387,0.0
14000,756.7137,0.0
15000,512.7555,0.0
16000,855.7888,0.0
17000,39.047,0.0
18000,-231.1245,0.0
19000,-243.7508,0.0
20000,-101.6149,0.0
21000,226.5097,0.0
22000,-96.0074,0.0
23000,0.6265,0.0
24000,169.1951,0.0
25000,-189.7669,0.0
26000,-140.7182,0.0
27000,-245.8699,0.0
28000,-190.2984,0.0
29000,-106.8254,0.0
30000,-163.1964,0.0
31000,-82.1646,0.0
32000,-189.1705,0.0
33000,-252.3076,0.0
34000,-224.5143,0.0
35000,-215.8482,0.0
36000,-249.2941,0.0
37000,-280.5724,0.0
38000,-241.6135,0.0
39000,-253.7871,0.0
40000,-226.0185,0.0
41000,-296.8033,0.0
42000,-351.6757,0.0
43000,-290.1257,0.0
44000,-314.9391,0.0
45000,-304.322,0.0
46000,-261.0905,0.0
47000,46.6654,0.0
48000,373.0338,0.0
49000,40.858,0.0
50000,13.8671,0.0
51000,-190.9414,0.0
52000,-97.1813,0.0
53000,1162.783,0.0
54000,966.5867,0.0
55000,949.6985,0.0
56000,775.7542,0.0
57000,127.0722,0.0
58000,49.3797,0.0
59000,814.5367,0.0
60000,1167.9044,0.0
61000,1910.2704,0.0
62000,1097.1072,0.0
63000,1233.9445,0.0
64000,957.4101,0.0
65000,1953.5511,0.0
66000,1446.1438,0.0
67000,960.5622,0.0
68000,1029.1666,0.0
69000,1458.1132,0.0
70000,879.7576,0.0
71000,1033.2621,0.0
72000,1965.3086,0.0
73000,1396.3724,0.0
74000,1518.526,0.0
75000,2207.5085,0.0
76000,2300.8848,0.0
77000,1971.9337,0.0
78000,1394.0892,0.0
79000,1333.7429,0.0
80000,2205.6917,0.0
81000,1999.012,0.0
82000,1274.3475,0.0
83000,1596.5153,0.0
84000,1173.4156,0.0
85000,731.1902,0.0
86000,1548.1216,0.0
87000,2364.6265,0.0
88000,1863.6682,0.0
89000,122.9968,0.0
90000,-218.9692,0.0
91000,-290.378,0.0
92000,-215.6983,0.0
93000,2476.022,0.0
94000,3293.5447,0.0
95000,2039.1796,0.0
96000,44.3771,0.0
97000,1575.1602,0.0
98000,1854.4988,0.0
99000,1305.1633,0.0
100000,2572.1462,0.0
101000,2750.3445,0.0
102000,3425.0342,0.0
103000,2504.7168,0.0
104000,2323.0916,0.0
105000,2509.1582,0.0
106000,2541.1853,0.0
107000,3402.7725,0.0
108000,3488.0088,0.0
109000,3861.4988,0.0
110000,3553.5281,0.0
111000,1855.9749,0.0
112000,2219.5315,0.0
113000,3067.6753,0.0
114000,2666.8799,0.0
115000,2742.7527,0.0
116000,2472.9985,0.0
117000,2318.8599,0.0
118000,3252.3687,0.0
